Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BFL_LOGO,LOGO,bl_logo,170.600000,-92.800000,-90.000000,bottom
C1,100nF,C_0805_HandSoldering,198.050000,-66.900000,180.000000,bottom
C2,100nF,C_0805_HandSoldering,202.000000,-87.200000,180.000000,bottom
C3,100nF,C_0805_HandSoldering,178.100000,-66.900000,0.000000,bottom
C4,100nF,C_0805_HandSoldering,181.800000,-87.000000,180.000000,bottom
C7,100nF,C_0805_HandSoldering,191.800000,-111.050000,90.000000,bottom
C8,100nF,C_0805_HandSoldering,170.800000,-113.800000,90.000000,bottom
R1,4.7k,R_0805_HandSoldering,190.800000,-118.650000,-90.000000,bottom
R2,4.7k,R_0805_HandSoldering,194.600000,-87.200000,0.000000,bottom
R3,180,R_0805_HandSoldering,215.200000,-117.400000,-90.000000,bottom
R4,4.7k,R_0805_HandSoldering,176.400000,-118.650000,90.000000,bottom
R5,4.7k,R_0805_HandSoldering,174.400000,-87.000000,0.000000,bottom
R6,0,R_0805_HandSoldering,202.800000,-118.650000,-90.000000,bottom
R7,0,R_0805_HandSoldering,200.400000,-118.650000,-90.000000,bottom
R8,0,R_0805_HandSoldering,198.000000,-118.650000,-90.000000,bottom
R9,0,R_0805_HandSoldering,195.600000,-118.650000,-90.000000,bottom
R10,0,R_0805_HandSoldering,193.200000,-118.650000,-90.000000,bottom
R11,4.7k,R_0805_HandSoldering,188.400000,-118.650000,90.000000,bottom
R12,4.7k,R_0805_HandSoldering,186.000000,-118.650000,90.000000,bottom
R13,4.7k,R_0805_HandSoldering,183.600000,-118.650000,90.000000,bottom
R14,4.7k,R_0805_HandSoldering,181.200000,-118.650000,90.000000,bottom
R15,4.7k,R_0805_HandSoldering,178.800000,-118.650000,90.000000,bottom
R16,4.7k,R_0805_HandSoldering,170.800000,-108.400000,-90.000000,bottom
U1,74LS21,SOIC-14_3.9x8.7mm_Pitch1.27mm,198.300000,-110.600000,0.000000,bottom
U2,7408,SOIC-14_3.9x8.7mm_Pitch1.27mm,178.200000,-110.600000,0.000000,bottom
U3,SN74LVC245AN,SOIC-20W_7.5x12.8mm_Pitch1.27mm,198.300000,-75.400000,270.000000,bottom
U4,SN74LVC245AN,SOIC-20W_7.5x12.8mm_Pitch1.27mm,198.300000,-95.700000,270.000000,bottom
U6,74LS245,SOIC-20W_7.5x12.8mm_Pitch1.27mm,178.100000,-75.400000,270.000000,bottom
U7,74LS245,SOIC-20W_7.5x12.8mm_Pitch1.27mm,178.100000,-95.700000,270.000000,bottom
+ 5V -,Conn_01x02_Male,Molex_KK-6410-02_02x2.54mm_Straight,218.960000,-116.800000,0.000000,top
AG_LOGO,LOGO,ag_pico_logo_2,199.800000,-113.400000,0.000000,top
C5,100nF,C_0805_HandSoldering,199.500000,-68.500000,180.000000,top
C6,100nF,C_0805_HandSoldering,199.750000,-89.000000,180.000000,top
J1,Conn_02x17_Odd_Even,Pin_Header_Straight_2x17_Pitch2.54mm,221.500000,-109.300000,180.000000,top
J2,Conn_02x17_Odd_Even,Pin_Header_Straight_2x17_Pitch2.54mm,213.250000,-109.340000,180.000000,top
PWR,LED,LED_0805_HandSoldering,215.200000,-117.450000,90.000000,top
TEST,Conn_01x02,Pin_Header_Straight_1x02_Pitch2.54mm,209.400000,-117.400000,90.000000,top
U5,SC0915,MODULE_SC0915,179.560000,-93.980000,0.000000,top
U8,74LS257,SOP-16_4.4x10.4mm_Pitch1.27mm,199.500000,-77.000000,270.000000,top
U9,74LS257,SOP-16_4.4x10.4mm_Pitch1.27mm,199.150000,-97.410000,270.000000,top
