"Comment","Designator","Footprint","LCSC Part #"
"100nF","C1,C2,C3,C4,C5,C6,C7,C8","C_0805_HandSoldering","C396718"
"BAT60A","D1,D2","D_SOD-323","C520634"
"LED","PWR_LED1","LED_0805_HandSoldering","C434432"
"4.7k","R1,R2,R4,R5,R11,R12,R13,R14,R15,R16","R_0805_HandSoldering","C17673"
"180","R3","R_0805_HandSoldering","C25270"
"0","R6,R7,R8,R9,R10","R_0805_HandSoldering","C17477"
"470","R17,R18,R19,R20,R21,R22,R23,R24","R_0805_HandSoldering","C17710"
"1.5k","R25","R_0805_HandSoldering","C4310"
"6.8k","R26","R_0805_HandSoldering","C17772"
"74LS21","U1","SOIC-14_3.9x8.7mm_Pitch1.27mm","C2862597"
"7408","U2","SOIC-14_3.9x8.7mm_Pitch1.27mm","C6802"
"SN74LVC245AN","U3,U4","SOIC-20W_7.5x12.8mm_Pitch1.27mm","C6080"
"Raspberry Pi Pico","U5","MODULE_SC0915","C5159530"
"74LS245","U6,U7","SOIC-20W_7.5x12.8mm_Pitch1.27mm","C129580"
"74LS257","U8,U9","SOP-16_4.4x10.4mm_Pitch1.27mm","C7754"
